contract_text,risk_level,risk_type,explanation
"terminate at any time without notice",High,Legal,"No notice period violates Pakistani employment norms (30-60 days required)"
"terminate immediately",High,Legal,"Immediate termination without cause is unfair under Pakistani Contract Act"
"30 days notice",Low,Legal,"Standard notice period compliant with Pakistani labor laws"
"60 days notice",Low,Legal,"Generous notice period exceeds minimum requirements"
"payment to be decided",High,Financial,"Vague payment terms are unenforceable under Pakistani Contract Act 1872"
"as agreed later",High,Financial,"Deferred terms create disputes"
"PKR",Low,Financial,"Payment in Pakistani currency is appropriate"
"salary of PKR",Low,Financial,"Clear salary specification in local currency"
"unlimited liability",High,Financial,"Unlimited liability is unfair and may not be enforceable"
"liable for all damages",High,Financial,"Overly broad liability creates excessive risk"
"limited liability",Low,Legal,"Reasonable limitation of liability"
"maximum liability of",Low,Financial,"Capped liability is fair and reasonable"
"laws of pakistan",Low,Compliance,"Proper jurisdiction for contracts in Pakistan"
"pakistani courts",Low,Compliance,"Appropriate forum for dispute resolution"
"foreign jurisdiction",Medium,Compliance,"Foreign courts may not be accessible"
"international arbitration",Medium,Compliance,"May be costly and inaccessible"
"stamp duty",Low,Compliance,"Mentions required stamp duty under Stamp Act 1899"
"contract act 1872",Low,Compliance,"References fundamental Pakistani contract law"
"indefinite period",Medium,Legal,"No fixed duration creates uncertainty"
"fixed term",Low,Legal,"Clear duration provides certainty"
"12 months term",Low,Legal,"Specific duration is clear and fair"
"probation period",Low,Legal,"Standard probationary provision"
"non-compete forever",High,Legal,"Perpetual non-compete is unenforceable"
"confidentiality",Low,Legal,"Standard confidentiality obligation"
"intellectual property",Medium,Legal,"Should be clearly defined"
"overtime compensation",Low,Financial,"Complies with labor law requirements"
"severance pay",Low,Financial,"Appropriate compensation on termination"
"annual leave 14 days",Low,Legal,"Complies with minimum leave requirements"
"working hours 9 to 5",Low,Legal,"Standard working hours"
"health insurance",Low,Financial,"Employee benefit provision"
"performance bonus",Low,Financial,"Incentive-based compensation"
"training bond",Medium,Legal,"Should be reasonable and proportionate"
"force majeure",Low,Compliance,"Standard protection clause recognized in Pakistani law"
"arbitration in Pakistan",Low,Compliance,"Appropriate dispute resolution mechanism"
"non-compete for 5 years",High,Legal,"Excessive non-compete period may be unenforceable"
"termination for cause",Low,Legal,"Fair termination provision with cause requirement"
"gross misconduct",Low,Legal,"Standard ground for immediate termination"
"indemnity clause",Medium,Legal,"Should be mutual and reasonable"
"warranty period",Low,Legal,"Standard warranty provision"
"guarantee",Medium,Financial,"Should specify terms and limitations"
